stage,target_name,target_path,render_seed,seed_role,candidate_index,prompt_id,prompt_source,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score,stage1_selection_score,stage1_combined_score,validation_count,validation_mean_selection,validation_mean_combined,validation_mean_clip,validation_mean_visual,validation_worst_selection,validation_best_selection,robustness_score
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,44,9338_ronda_11_token_compression_dragon_short_dense_044,ronda_11_token_compression_dragon_short_dense,"dragon hamster, orange face, turquoise belly, orange teal quills, clawed paws",,openai/clip-vit-large-patch14,0.7456417679786682,0.606570303440094,0.016503887251019478,0.12846745599964016,0.5530059925256373,0.8064643012152778,0.05702486712846553,0.9429751328715344,0.9701318469856831,0.8869766014490488,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.5449662169666349,0.8467548549804831,0.7978181639793451,0.5843111003572379,0.841329071287992,0.7742147534398159,0.7537929925375647,0.7422355213436479,False,1,0.7422355213436479,0.7422355213436479,0.7422355213436479,3,0.6786976186632274,0.6686976186632275,0.7608234882354736,0.8723153338661186,0.6650512725000449,0.7028822209762371,0.7127296257340708
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,72,9338_ronda_11_token_compression_dragon_short_dense_072,ronda_11_token_compression_dragon_short_dense,"dragon hamster, orange face, teal oval belly, rainbow quills, clawed paws",,openai/clip-vit-large-patch14,0.7559859156608582,0.5969809889793396,0.015195352025330067,0.1232694285917237,0.6237118457652454,0.8500903094256366,0.05512355974766596,0.9448764402523341,0.9607894499826015,0.9054052833263736,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.5887715838851094,0.8893791183447113,0.8591503411282679,0.8007929337486724,0.9432945434371987,0.8084904356381685,0.6599629537720585,0.8066472180697903,False,1,0.8066472180697903,0.8066472180697903,0.8066472180697903,3,0.6037521993129795,0.6037521993129795,0.6986590623855591,0.8701675412146654,0.5248395055718601,0.6841653535024373,0.7093704124456917
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,84,9338_ronda_11_token_compression_dragon_short_dense_084,ronda_11_token_compression_dragon_short_dense,"spiky hamster dragon, round body, pointed orange snout, blue green belly, rainbow spines, storybook painting",,openai/clip-vit-large-patch14,0.7872085571289062,0.6361812353134155,0.016232265159487724,0.12740590708239444,0.5968491943659291,0.8610376428674767,0.08311394470060486,0.9168860552993952,0.9742311115125815,0.903223280947669,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7209931363699696,0.7151350020917104,0.8103435127579233,0.7185468995346144,0.968881345186046,0.30389578200936296,0.794963812974982,0.7356521656034443,False,1,0.7356521656034443,0.7356521656034443,0.7356521656034443,3,0.6722406102317436,0.6622406102317436,0.762627919514974,0.8940028720649501,0.5927445416917411,0.7514593649098141,0.7078795942653042
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,256,9338_ronda_11_token_compression_dragon_short_dense_256,ronda_11_token_compression_dragon_short_dense,"orange teal dragon hamster, orange snout, teal oval belly, orange teal quills, small paws, storybook painting",,openai/clip-vit-large-patch14,0.8371554613113403,0.6566382050514221,0.018742816522717476,0.13690440651314872,0.6063404807897237,0.6850958930121527,0.05122022755841198,0.9487797724415881,0.9658239449582884,0.8335308612016823,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9325081428620469,0.6242042823499114,0.6982695269900268,0.7476066024039559,0.5576591332373491,0.8788574762253676,0.7105267286338662,0.7236808017195356,True,0,0.7536808017195357,0.7536808017195357,0.7236808017195356,3,0.6322809994662514,0.6322809994662514,0.7865086197853088,0.839834259631895,0.5146344648052625,0.714891192825963,0.6936077761307514
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,42,9338_ronda_11_token_compression_dragon_short_dense_042,ronda_11_token_compression_dragon_short_dense,"dragon hamster, orange face, turquoise belly, orange teal quills, tiny paws",,openai/clip-vit-large-patch14,0.7769879698753357,0.6154542565345764,0.017308877781033516,0.13156320831080973,0.5676601509734244,0.7766424108434608,0.05272773859863328,0.9472722614013667,0.9803073615848835,0.8770958486870123,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6777110228000137,0.8072659052787671,0.7612909942940385,0.6291780942797216,0.771627458491289,0.851680929262506,0.8559904188497862,0.7587605847160354,False,1,0.7587605847160354,0.7587605847160354,0.7587605847160354,3,0.6237251887508747,0.6237251887508747,0.745025118192037,0.8698824210250451,0.5127354860458891,0.6855023737403595,0.6894104942113791
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,32,9338_ronda_11_token_compression_dragon_short_dense_032,ronda_11_token_compression_dragon_short_dense,"dragon hamster, orange face, turquoise belly, rainbow quills, clawed paws",,openai/clip-vit-large-patch14,0.7310634851455688,0.6268219947814941,0.017471037805080414,0.13217805341689828,0.5743595290351511,0.8593682183159723,0.05709954265201089,0.9429004573479891,0.9693598250115238,0.9106028233162885,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.48323014666238573,0.7567365925864695,0.7540363597939701,0.649689743300775,0.9649794602876883,0.7728685458045417,0.7460392167411292,0.7252424563675379,False,1,0.7252424563675379,0.7252424563675379,0.7252424563675379,3,0.6062208703755211,0.6062208703755211,0.696421225865682,0.8668033051270362,0.583299655421587,0.6295330346822601,0.6669363665221469
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,12,9338_ronda_11_token_compression_dragon_short_dense_012,ronda_11_token_compression_dragon_short_dense,"dragon hamster, orange face, teal belly, rainbow quills, clawed paws",,openai/clip-vit-large-patch14,0.7342121005058289,0.6023268103599548,0.01647282764315605,0.12834651395015,0.6124438697299543,0.8365648057725693,0.05752885642503926,0.9424711435749608,0.9592572189060353,0.8981705066300996,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.49656389395398803,0.8656170757755557,0.7992451743857902,0.7662934970123076,0.9116818788223015,0.7651291226074852,0.6445740443450134,0.7611837544989715,False,1,0.7611837544989715,0.7611837544989715,0.7611837544989715,3,0.5725086499564577,0.5625086499564577,0.7030832767486572,0.8411233796356719,0.46482829754928456,0.6433540724192226,0.666704980356412
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,22,9338_ronda_11_token_compression_dragon_short_dense_022,ronda_11_token_compression_dragon_short_dense,"dragon hamster, orange face, teal belly, orange teal quills, tiny paws",,openai/clip-vit-large-patch14,0.7860590219497681,0.6322291493415833,0.018025007098913193,0.1342572422587072,0.5229438024756341,0.7983364529079862,0.04561031232104641,0.9543896876789536,0.9621568581951498,0.8857191661352575,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.716125088092339,0.7327019255658415,0.7295037499470739,0.49226896070958526,0.8223321489426343,0.979989820094336,0.6736964705075772,0.7386059540062013,False,1,0.7386059540062013,0.7386059540062013,0.7386059540062013,3,0.5911890873863332,0.5911890873863332,0.7381933927536011,0.8527409664204711,0.4772506977187586,0.6744166243053488,0.6659878122673621
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,247,9338_ronda_11_token_compression_dragon_short_dense_247,ronda_11_token_compression_dragon_short_dense,"spiky hamster dragon, compact body, orange snout, blue green belly, orange teal quills, storybook painting",,openai/clip-vit-large-patch14,0.7328886985778809,0.6647104024887085,0.016904400661587715,0.13001692451980132,0.4989654734672133,0.8502739800347222,0.07329653630821842,0.9267034636917816,0.976593712041712,0.902288245716091,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.49095955526746754,0.5883235662775476,0.779535790627394,0.4188539266272567,0.9437238300289273,0.4808784064219157,0.8186925090647112,0.6335616919850561,False,1,0.6335616919850561,0.6335616919850561,0.6335616919850561,3,0.671456635764689,0.661456635764689,0.7622284889221191,0.8817457487518657,0.5917021961976772,0.7661679115579603,0.6587404112871621
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,276,9338_ronda_11_token_compression_dragon_short_dense_276,ronda_11_token_compression_dragon_short_dense,"dragon hamster, orange muzzle, turquoise belly, rainbow quills, tiny claws, painterly aura",,openai/clip-vit-large-patch14,0.7687900066375732,0.6258200407028198,0.018302377313375473,0.1352862791024111,0.628882584663251,0.7087566234447339,0.07697630946916198,0.923023690530838,0.9667645927807527,0.835351690792074,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6429943116075918,0.7611902534506598,0.7173620152007938,0.8166243110016324,0.612960492424743,0.41454156015485694,0.7199740922620015,0.6808591300269577,False,1,0.6808591300269577,0.6808591300269577,0.6808591300269577,3,0.6379255190997419,0.6379255190997419,0.7404939532279968,0.8620175892837442,0.5215173746938836,0.7094784389976289,0.6584844481074471
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,71,9338_ronda_11_token_compression_dragon_short_dense_071,ronda_11_token_compression_dragon_short_dense,"dragon hamster, orange face, teal oval belly, rainbow quills, small paws",,openai/clip-vit-large-patch14,0.7492334842681885,0.6098117232322693,0.016974693164229393,0.13028696467501802,0.5933592495335706,0.8253365975839121,0.04896258675372429,0.9510374132462757,0.9707837811706425,0.8984213197830854,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.5601764068018392,0.8323468249319168,0.7763495529765787,0.7078616504197544,0.8854385988085648,0.9195569336202893,0.7603406708076187,0.7714878371160467,False,1,0.7714878371160467,0.7714878371160467,0.7714878371160467,3,0.5455707870262895,0.5455707870262895,0.705659290154775,0.834032038439339,0.4042165604428102,0.6236667926893438,0.6561082902622783
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,154,9338_ronda_11_token_compression_dragon_short_dense_154,ronda_11_token_compression_dragon_short_dense,"fantasy hamster dragon, side profile, pointed orange snout, teal belly, orange teal quills, storybook painting",,openai/clip-vit-large-patch14,0.7753627896308899,0.667086124420166,0.016828620806336403,0.1297251741426328,0.6285556947091123,0.7803548177083334,0.05911798801714445,0.9408820119828556,0.9719400853587572,0.8748563892345009,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6708287141648442,0.577763541606227,0.7829781899091895,0.8156234640653912,0.7803043311714902,0.7364811670099791,0.7719539716296385,0.7011889602781727,False,1,0.7011889602781727,0.7011889602781727,0.7011889602781727,3,0.613093626621473,0.5930936266214731,0.7310157219568888,0.8799819998245392,0.5507038283655618,0.6467163233547575,0.6559457181342244
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,30,9338_ronda_11_token_compression_dragon_short_dense_030,ronda_11_token_compression_dragon_short_dense,"dragon hamster, orange face, turquoise belly, rainbow quills, tiny paws",,openai/clip-vit-large-patch14,0.7500553131103516,0.618995189666748,0.018710212782025337,0.13678527984408753,0.587691903617674,0.8177987557870369,0.04964123814005743,0.9503587618599426,0.9660900473609015,0.8938530162273268,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.5636566852241129,0.7915265459117857,0.6996751174951663,0.6905097993618355,0.8678206770840209,0.9073225945143,0.7131993188421983,0.7435410717175666,False,1,0.7435410717175666,0.7435410717175666,0.7435410717175666,3,0.5624287924713475,0.5624287924713475,0.7006460428237915,0.852721314504907,0.47593099173223036,0.6111950298535257,0.651650087627872
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,43,9338_ronda_11_token_compression_dragon_short_dense_043,ronda_11_token_compression_dragon_short_dense,"dragon hamster, orange face, turquoise belly, orange teal quills, small paws",,openai/clip-vit-large-patch14,0.7694019675254822,0.6341710090637207,0.017158949747681618,0.13099217437572985,0.5663313658605361,0.8176992910879629,0.05012494323791467,0.9498750567620853,0.9710990723030144,0.8946407653169159,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6455858418194779,0.7240704075828279,0.7680286952940422,0.6251097205278842,0.8675882018835773,0.8986026356169079,0.7635072863093064,0.7443950117975203,False,1,0.7443950117975203,0.7443950117975203,0.7443950117975203,3,0.5526422600160793,0.5526422600160793,0.7039621671040853,0.8548962991411827,0.470347889639473,0.6032582347522737,0.6478815950795683
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,70,9338_ronda_11_token_compression_dragon_short_dense_070,ronda_11_token_compression_dragon_short_dense,"dragon hamster, orange face, teal oval belly, rainbow quills, tiny paws",,openai/clip-vit-large-patch14,0.7565838694572449,0.644885778427124,0.01725040376186371,0.13134079245178823,0.5814015531126149,0.8402800383391202,0.045236583945672336,0.9547634160543277,0.974164638224416,0.9071261405165021,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.5913037969060153,0.676443525275254,0.7639153069025986,0.6712504799757129,0.9203653559116063,0.9867271815289933,0.7942961908215478,0.742238544108701,False,1,0.742238544108701,0.742238544108701,0.742238544108701,3,0.5515929078995769,0.5515929078995769,0.7222054402033488,0.831144700302643,0.43657435109643816,0.6200283145403145,0.6456791813199357
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,202,9338_ronda_11_token_compression_dragon_short_dense_202,ronda_11_token_compression_dragon_short_dense,"fantasy hamster dragon, side profile, orange snout, turquoise belly, rainbow spines, storybook painting",,openai/clip-vit-large-patch14,0.7759498953819275,0.6524631381034851,0.021591758355498314,0.1469413432479039,0.6256908074631177,0.7033448395905673,0.07165544890036213,0.9283445510996379,0.9573532732331469,0.8328964253472579,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6733149879144379,0.6427623506957223,0.5798424519594081,0.8068519689902814,0.6003117281096864,0.5104629917548478,0.6254518323221662,0.6381668842834414,False,1,0.6381668842834414,0.6381668842834414,0.6381668842834414,3,0.6353699014904347,0.6253699014904347,0.7846238811810812,0.8534676104605522,0.4052598910643811,0.8329663950525703,0.643396865878653
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,31,9338_ronda_11_token_compression_dragon_short_dense_031,ronda_11_token_compression_dragon_short_dense,"dragon hamster, orange face, turquoise belly, rainbow quills, small paws",,openai/clip-vit-large-patch14,0.7484738230705261,0.6229541301727295,0.01847364939749241,0.13591780382824176,0.5883740473382273,0.827975802951389,0.049347096043594676,0.9506529039564053,0.9638291178890802,0.8980834512906829,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.5569593957420859,0.7739291542044969,0.7099105757759876,0.6925983354093591,0.8916071169112502,0.9126252200241601,0.6904917524738353,0.741859141091397,False,1,0.741859141091397,0.741859141091397,0.741859141091397,3,0.5417380113371687,0.5417380113371687,0.6878195206324259,0.8494249922515255,0.4740483242932832,0.5885753707004221,0.6420552114143824
